epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,4208.37,0.41398,0.63969,0.93204,0.53237,0.0625,0.08736,0.0541,2.53873,4.54418,2.29511,0.000605051,0.000605051,0.000605051
25,4348.41,0.42491,0.63046,0.93007,0.61977,0.0828,0.12709,0.05209,2.48889,4.1132,2.23224,0.000583053,0.000583053,0.000583053
26,4489.13,0.41544,0.61584,0.93608,0.84443,0.0625,0.08694,0.03398,2.42316,4.15969,2.25029,0.000561055,0.000561055,0.000561055
27,4627.74,0.43401,0.63999,0.9331,0.06202,0.21974,0.08077,0.0335,2.52901,4.40138,2.18401,0.000539057,0.000539057,0.000539057
28,4767.26,0.38956,0.58978,0.93115,0.05852,0.10938,0.05752,0.02969,2.55584,4.82258,2.27407,0.000517059,0.000517059,0.000517059
29,4907.37,0.40266,0.57153,0.9271,0.04256,0.09375,0.04789,0.03082,2.42171,4.81461,2.2533,0.000495062,0.000495062,0.000495062
30,5050.39,0.40457,0.61485,0.93253,0.09077,0.18056,0.09716,0.04455,2.44017,4.67735,2.18432,0.000473064,0.000473064,0.000473064
31,5189.94,0.37302,0.55079,0.90976,0.65158,0.07812,0.13788,0.04331,2.421,4.30122,2.13291,0.000451066,0.000451066,0.000451066
32,5394.94,0.38935,0.53339,0.91607,0.07553,0.19196,0.11494,0.04299,2.54472,4.67341,2.24779,0.000429068,0.000429068,0.000429068
33,5709.33,0.39256,0.55444,0.91882,0.04378,0.12946,0.05548,0.02791,2.64,4.42478,2.33609,0.00040707,0.00040707,0.00040707
34,6028.27,0.36915,0.53078,0.91786,0.03535,0.1059,0.06355,0.02952,2.52044,4.56912,2.27285,0.000385073,0.000385073,0.000385073
35,6343.74,0.38481,0.52129,0.92104,0.0706,0.14062,0.12095,0.03375,2.47443,4.73201,2.20954,0.000363075,0.000363075,0.000363075
36,6659.23,0.37254,0.48515,0.91375,0.34177,0.07812,0.06919,0.03527,2.5526,4.47782,2.29595,0.000341077,0.000341077,0.000341077
37,6972.09,0.40094,0.53092,0.93286,0.05969,0.1684,0.09033,0.03436,2.41926,4.34569,2.22444,0.000319079,0.000319079,0.000319079
38,7285.73,0.36096,0.50767,0.90354,0.52573,0.0625,0.11091,0.04899,2.32361,4.81137,2.15917,0.000297081,0.000297081,0.000297081
39,7603.8,0.36455,0.50709,0.90689,0.80482,0.0625,0.08671,0.03315,2.50186,4.89085,2.22879,0.000275084,0.000275084,0.000275084
40,7921.48,0.37158,0.49248,0.9126,0.7174,0.07812,0.11082,0.04827,2.59253,4.65962,2.28727,0.000253086,0.000253086,0.000253086
41,9359.29,0.35153,0.4199,0.89867,0.7293,0.07812,0.13192,0.04809,2.61366,4.43605,2.35912,0.000231088,0.000231088,0.000231088
42,9734.68,0.34946,0.40337,0.88778,0.0686,0.125,0.06392,0.0346,2.64742,4.78269,2.36743,0.00020909,0.00020909,0.00020909
43,10001.4,0.3481,0.38764,0.88622,0.0375,0.07812,0.03842,0.0296,2.51413,4.91464,2.19488,0.000187092,0.000187092,0.000187092
44,10212.4,0.33509,0.37825,0.88231,0.08068,0.10938,0.07918,0.0398,2.6199,4.86848,2.26587,0.000165095,0.000165095,0.000165095
45,10425.8,0.34219,0.38014,0.88791,0.85083,0.0625,0.12009,0.0522,2.54604,4.74503,2.20995,0.000143097,0.000143097,0.000143097
46,10636.6,0.32971,0.37669,0.8787,0.92016,0.0625,0.11176,0.03557,2.55412,4.72649,2.21437,0.000121099,0.000121099,0.000121099
47,10838.4,0.33164,0.36603,0.88843,0.79166,0.08382,0.08062,0.04067,2.58285,4.72418,2.22523,9.91012e-05,9.91012e-05,9.91012e-05
48,11068.7,0.32415,0.35271,0.88071,0.87409,0.0625,0.1323,0.05187,2.54841,4.81305,2.1634,7.71034e-05,7.71034e-05,7.71034e-05
49,11303,0.3184,0.34414,0.87805,0.9505,0.0625,0.11067,0.04265,2.53502,4.83627,2.16907,5.51056e-05,5.51056e-05,5.51056e-05
50,11515.8,0.3074,0.33387,0.88175,0.9496,0.0625,0.10298,0.03828,2.51479,4.82947,2.15669,3.31078e-05,3.31078e-05,3.31078e-05
